state_abr,state_fips,state,district,candidate_name_first,candidate_name_last,candidate,party,general_votes,general_perc,runoff_votes_LA_only,runoff_perc_LA_only,combined_general_votes_CT_NY_SC_only,combined_general_perc_CT_NY_SC_only,winner
AL,01,Alabama,01,Bradley,Byrne,Bradley Byrne,R,"208,083",0.963824672,,,,,W
AL,01,Alabama,01,,Scattered,Scattered,W,"7,810",0.036175328,,,,,
AL,01,Alabama,01,,,Total Votes,,"215,893",,,,,,
AL,01,Alabama,02,Martha,Roby,Martha Roby,R,"134,886",0.487685477,,,,,W
AL,01,Alabama,02,Nathan ,Mathis,Nathan  Mathis,D,"112,089",0.405262054,,,,,
AL,01,Alabama,02,,Scattered,Scattered,W,"29,609",0.107052469,,,,,
AL,01,Alabama,02,,,Total Votes,,"276,584",,,,,,
AL,01,Alabama,03,Mike,Rogers,Mike Rogers,R,"192,164",0.669318435,,,,,W
AL,01,Alabama,03,Jesse,Smith,Jesse Smith,D,"94,549",0.329319689,,,,,
AL,01,Alabama,03,,Scattered,Scattered,W,391,0.001361876,,,,,
AL,01,Alabama,03,,,Total Votes,,"287,104",,,,,,
AL,01,Alabama,04,Robert,Aderholt,Robert Aderholt,R,"235,925",0.985303453,,,,,W
AL,01,Alabama,04,,Scattered,Scattered,W,"3,519",0.014696547,,,,,
AL,01,Alabama,04,,,Total Votes,,"239,444",,,,,,
AL,01,Alabama,05,Mo,Brooks,Mo Brooks,R,"205,647",0.666979107,,,,,W
AL,01,Alabama,05,"Will, Jr.",Boyd,"Will, Jr. Boyd",D,"102,234",0.331577616,,,,,
AL,01,Alabama,05,,Scattered,Scattered,W,445,0.001443278,,,,,
AL,01,Alabama,05,,,Total Votes,,"308,326",,,,,,
AL,01,Alabama,06,Gary,Palmer,Gary Palmer,R,"245,313",0.744939357,,,,,W
AL,01,Alabama,06,David J.,Putman,David J. Putman,D,"83,709",0.254198223,,,,,
AL,01,Alabama,06,,Scattered,Scattered,W,284,0.00086242,,,,,
AL,01,Alabama,06,,,Total Votes,,"329,306",,,,,,
AL,01,Alabama,07,Terri A.,Sewell,Terri A. Sewell,D,"229,330",0.984130662,,,,,W
AL,01,Alabama,07,,Scattered,Scattered,W,"3,698",0.015869338,,,,,
AL,01,Alabama,07,,,Total Votes,,"233,028",,,,,,
AK,02,Alaska,00,Don,Young,Don Young,R,"155,088",0.503208976,,,,,W
AK,02,Alaska,00,Steve,Lindbeck,Steve Lindbeck,D,"111,019",0.360219729,,,,,
AK,02,Alaska,00,Jim C.,McDermott,Jim C. McDermott,LIB,"31,770",0.103083083,,,,,
AK,02,Alaska,00,Bernie,Souphanavong,Bernie Souphanavong,NAF,"9,093",0.029503761,,,,,
AK,02,Alaska,00,,Scattered,Scattered,W,"1,228",0.003984452,,,,,
AK,02,Alaska,00,,,Total Votes,,"308,198",,,,,,
AZ,04,Arizona,01,Tom,O'Halleran,Tom O'Halleran,D,"142,219",0.506640305,,,,,W
AZ,04,Arizona,01,Paul,Babeu,Paul Babeu,R,"121,745",0.433703822,,,,,
AZ,04,Arizona,01,Ray,Parrish,Ray Parrish,W(GRE)/GRE,"16,746",0.059655873,,,,,
AZ,04,Arizona,01,,,Total Votes,,"280,710",,,,,,
AZ,04,Arizona,02,Martha,McSally,Martha McSally,R,"179,806",0.569584926,,,,,W
AZ,04,Arizona,02,Matt,Heinz,Matt Heinz,D,"135,873",0.430415074,,,,,
AZ,04,Arizona,02,,,Total Votes,,"315,679",,,,,,
AZ,04,Arizona,03,Raúl,Grijalva,Raúl Grijalva,D,"148,973",0.986347535,,,,,W
AZ,04,Arizona,03,Bill,Abatecola,Bill Abatecola,W,"1,303",0.008627139,,,,,
AZ,04,Arizona,03,Jaime,Vasquez,Jaime Vasquez,W,332,0.002198166,,,,,
AZ,04,Arizona,03,Harvey,Martin,Harvey Martin,W,283,0.001873738,,,,,
AZ,04,Arizona,03,Federico,Sanchez,Federico Sanchez,W,144,0.000953421,,,,,
AZ,04,Arizona,03,,,Total Votes,,"151,035",,,,,,
