city,country,memory,stay_length,city_country,lat,lon,pic_link
Jerusalem,Israel,Perfect sweet potato soup to get over a cold.,3,"Jerusalem, Israel",31.778345,35.225079,https://masonchinkin.github.io/images/europe-trip-map/Jerusalem.jpg
Tel Aviv,Israel,Moroccan donuts at the farmers market,3,"Tel Aviv, Israel",32.080481,34.780527,https://masonchinkin.github.io/images/europe-trip-map/Tel-Aviv.jpg
Istanbul,Turkey,Climbing up to a hilltop mosque to see all of Istanbul.,5,"Istanbul, Turkey",41.009633,28.965165,https://masonchinkin.github.io/images/europe-trip-map/Istanbul.jpg
Melnik,Bulgaria,Hiking an abandoned trail to church ruins above Melnik.,2,"Melnik, Bulgaria",41.522942,23.393246,https://masonchinkin.github.io/images/europe-trip-map/Melnik.jpg
Rila,Bulgaria,Walking along the river outside the monestary.,1,"Rila, Bulgaria",42.110586,23.239945,https://masonchinkin.github.io/images/europe-trip-map/Rila.jpg
Sofia,Bulgaria,Seeing a racuous Roma wedding parade.,2,"Sofia, Bulgaria",42.697863,23.322179,https://masonchinkin.github.io/images/europe-trip-map/Sofia.jpg
Skopje,Macedonia,A quick nap before a hellish 9pm to 8am bus ride to Kotor.,1,"Skopje, Macedonia",41.996092,21.43165,https://masonchinkin.github.io/images/europe-trip-map/Skopje.jpg
Kotor,Montenegro,Swimming in a cave where the water was so clear that I thought I might fall when I looked down.,2,"Kotor , Montenegro",42.424249,18.771267,https://masonchinkin.github.io/images/europe-trip-map/Kotor.jpg
Dubrovnik,Croatia,100+ degrees with no wind because of the stunningly preserved city walls.,3,"Dubrovnik, Croatia",42.650042,18.089918,https://masonchinkin.github.io/images/europe-trip-map/Dubrovnik.jpg
Split,Croatia,Rickety stairs up the bell tower gave us a panic attack.,2,"Split, Croatia",43.511556,16.43968,https://masonchinkin.github.io/images/europe-trip-map/Split.jpg
Vis,Croatia,Watching the sunset from a beach caban in Komiza.,4,"Vis, Croatia",43.043421,16.165466,https://masonchinkin.github.io/images/europe-trip-map/Vis.jpg
Zadar,Croatia,Cool Roman museum.,2,"Zadar, Croatia",44.11877,15.232032,https://masonchinkin.github.io/images/europe-trip-map/Zadar.jpg
Plitvice,Croatia,Waterfalls…waterfalls everywhere.,2,"Plitvice, Croatia",45.775348,15.877231,https://masonchinkin.github.io/images/europe-trip-map/Plitvice.jpg
Zagreb,Croatia,Took a glorious nap in a park while waiting for a bus.,1,"Zagreb, Croatia",45.813177,15.977048,https://masonchinkin.github.io/images/europe-trip-map/Zagreb.jpg
Budapest,Hungary,Amazing dinner in a suburban family's backyard with other tourists.,3,"Budapest, Hungary",47.498382,19.040471,https://masonchinkin.github.io/images/europe-trip-map/Budapest.jpg
Vienna,Austria,Unique and powerful holocaust memorial.,3,"Vienna, Austria",48.208354,16.372504,https://masonchinkin.github.io/images/europe-trip-map/Vienna.jpg
Venice,Italy,Learned about sustainability of tourism.,3,"Venice, Italy",45.437191,12.33459,https://masonchinkin.github.io/images/europe-trip-map/Venice.jpg
Florence,Italy,Nostalgia for my semester abroad. Elisha had her first bistecca della fiorentina.,5,"Florence, Italy",43.769871,11.255576,https://masonchinkin.github.io/images/europe-trip-map/Florence.jpg
Rome,Italy,Ok we are really tired now. But also cacio e pepe is life.,4,"Rome, Italy",41.894802,12.485338,https://masonchinkin.github.io/images/europe-trip-map/Rome.jpg
Sorrento,Italy,"Elisha was blown away by Pompei (too soon?), but a storm canceled our visit to Capri.",3,"Sorrento, Italy",40.624906,14.374836,https://masonchinkin.github.io/images/europe-trip-map/Sorrento.jpg
Barcelona,Spain,The Sagrada Familia is the most beautiful building we've ever seen. ,3,"Barcelona, Spain",41.382894,2.177432,https://masonchinkin.github.io/images/europe-trip-map/Barcelona.jpg
